"Date","Price"
"04/01/2026","17034"
"03/01/2026","16994"
"02/01/2026","16765"
"01/01/2026","16785"
"12/01/2025","16675"
"11/01/2025","16655"
"10/01/2025","16630"
"09/01/2025","16665"
"08/01/2025","16490"
"07/01/2025","16455"
"06/01/2025","16235"
"05/01/2025","16290"
"04/01/2025","16600"
"03/01/2025","16560"
"02/01/2025","16580"
"01/01/2025","16300"
"12/01/2024","16090"
"11/01/2024","15840"
"10/01/2024","15690"
"09/01/2024","15135"
"08/01/2024","15450"
"07/01/2024","16255"
"06/01/2024","16370"
"05/01/2024","16245"
